mcd,age_ka,MgCa,FeCa,AlCa,notes,
116.12,2499.9,0.93,17,7,1208 13-5 123-125,
116.28,2503.7,0.93,19,21,1208 13-5 140-142,
116.47,2508.1,1.08,16,30,1208 13-6 10-12,
116.57,2510.4,1.01,14,20,1208 13-6 20-22,
116.66,2512.5,0.94,12,6,1208 13-6 30-32,
116.78,2514.8,0.94,13,12,1208 13-6 42-44,
116.86,2516.2,0.94,14,5,1208 13-6 50-52,
116.95,2518.1,1.03,20,29,1208 13-6 60-62,
117.05,2519.9,0.92,18,55,1208 13-6 70-72,
117.14,2521.7,0.89,20,22,1208 13-6 80-82,
117.24,2523.5,1.1,18,14,1208 13-6 90-92,
117.55,2529.6,0.92,16,10,1208 13-6 123-125,
117.62,2530.9,0.85,13,39,1208 13-6 130-132,
117.84,2535.1,1.07,18,12,1208 13-7 3-5,
118.2,2542.2,0.95,19,25,1208 13-7 40-42,
118.29,2544.5,0.94,13,29,1208 13-7 50-52,
118.39,2546.8,1.25,20,25,1208 13-7 60-62,
118.63,2552.5,1.07,12,10,1208 13-CC 20-22,
118.73,2555.1,1.05,13,10,1208 14-1 3-5,
118.79,2556.9,1,16,11,1208 14-1 10-12,
118.89,2559.4,1.04,17,10,1208 14-1 20-22,
118.98,2561.9,1.02,20,15,1208 14-1 30-32,
119.08,2564.4,1.27,16,11,1208 14-1 40-42,
119.3,2570.2,1.07,14,7,1208 14-1 63-65,
119.38,2572.5,1.04,18,32,1208 14-1 72-74,
119.46,2574.6,1.01,17,16,1208 14-1 80-82,
119.55,2577.1,1.05,54,71,1208 14-1 90-92,
119.65,2579.7,1.01,14,8,1208 14-1 100-102,
119.74,2582.3,1.03,19,15,1208 14-1 110-112,
119.86,2585.6,1.2,46,39,1208 14-1 123-125,
119.93,2587.4,1.24,43,50,1208 14-1 130-132,
120.04,2590.4,1.02,27,30,1208 14-1 142-144,
120.15,2593.3,1.05,12,9,1208 14-2 3-5,
120.21,2595,1.09,99,197,1208 14-2 10-12,
120.31,2596.8,0.88,14,13,1208 14-2 20-22,
120.52,2600.9,0.96,13,10,1208 14-2 43-45,
120.68,2603.9,1.1,11,6,1208 14-2 60-62,
120.78,2605.6,1.04,20,16,1208 14-2 70-72,
120.87,2607.4,0.81,18,18,1208 14-2 80-82,
120.97,2609.2,1.13,16,69,1208 14-2 90-92,
121.06,2610.9,1.13,24,22,1208 14-2 100-102,
121.16,2612.7,1.16,36,48,1208 14-2 110-112,
121.28,2615,1.13,31,40,1208 14-2 123-125,
121.35,2616.6,1.1,44,47,1208 14-2 130-132,
121.44,2618.9,0.94,21,18,1208 14-2 140-142,
121.56,2621.9,0.99,39,58,1208_14-3 3-5,
121.63,2623.6,1.04,36,52,1208_14-3 10-12,
121.72,2625.9,1,32,45,1208_14-3 20-22,
121.82,2628.2,1.06,32,36,1208 14-3 30-32,
121.91,2630.5,1.05,93,148,1208_14-3 40-42,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
122.01,2632.8,1.01,35,36,1208_14-3 50-52,
122.13,2635.8,1.07,13,16,1208_14-3 63-65,
122.2,2637.5,0.91,19,38,1208_14-3 70-72,
122.39,2642.5,0.95,24,5,1208_14-3 90-92,
122.39,2642.5,1.02,11,15,1208_14-3 90-92,
122.48,2645,1.07,23,23,1208_14-3 100-102,
122.86,2654.7,1.03,34,67,1208_14-3 140-142,
122.98,2657.5,0.96,NaN,79,1208_14-4 3-5,
123.05,2658.9,1.04,19,4,1208_14-4 10-12,
123.14,2661,1.21,36,98,1208_14-4 20-22,
123.24,2663.2,1.2,45,67,1208_14-4 30-32,
123.33,2665.3,0.99,13,39,1208_14-4 40-42,
123.43,2667.4,0.91,18,46,1208_14-4 50-52,
123.52,2669.5,1.04,31,2,1208_14-4 60-62,
123.61,2671.6,1.08,77,118,1208_14-4 70-72,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
123.8,2675.8,1.01,25,34,1208_14-4 90-92,
124.12,2681.9,1.01,27,40,1208_14-4 123-125,
124.18,2682.9,1.04,101,17,1208_14-4 130-132,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
124.28,2684.3,0.86,19,30,1208_14-4 140-142,
124.4,2686.2,0.8,12,7,1208_14-5 3-5,
124.47,2687.2,0.88,19,25,1208_14-5 10-12,
124.56,2688.6,0.91,17,116,1208_14-5 20-22,
124.65,2690,0.95,12,6,1208_14-5 30-32,
124.75,2693.1,0.97,13,15,1208_14-5 40-42,
124.84,2696.1,1.01,27,33,1208_14-5 50-52,
125.13,2705,1.11,17,29,1208_14-5 80-82,
125.32,2708.2,0.92,13,9,1208_14-5 100-102,
125.53,2712,0.76,14,3,1208_14-5 123-125,
125.6,2713.2,0.77,9,4,1208_14-5 130-132,
125.82,2717,0.86,18,116,1208_14-6 3-5,
125.86,2717.7,0.84,79,67,1208_14-6 8-10,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
126.45,2728,0.93,18,29,1208_14-6 70-72,
126.64,2733.4,1.01,18,46,1208_14-6 90-92,
126.95,2742.3,0.83,39,,1208_14-6 123-125,
127.02,2744.1,1,36,51,1208_14-6 130-132,
127.11,2746.8,0.85,30,,1208_14-6 140-142,
127.11,2746.8,0.87,38,23,1208_14-6 140-142,
127.3,2752.2,0.92,16,23,1208_14-7 10-12,
127.4,2755,0.85,16,24,1208_14-7 20-22,
127.4,2755,0.85,21,25,1208_14-7 20-22,
127.58,2762.3,0.93,14,527,1208_14-7 40-42,
127.68,2766.1,0.9,67,59,1208_14-7 50-52,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
127.8,2771,1.05,20,107,1208_14-7 63-65,
127.87,2773.6,1.13,16,19,1208_14-7 70-72,
127.93,2776.2,0.95,25,,1208_14-CC 0-2,
128.03,2780,0.87,21,25,1208_14-CC 10-12,
128.12,2785.4,0.94,27,29,1208_14-CC 20-22,
128.23,2791.4,0.86,23,23,1208_15-1 3-5,
128.29,2795,1.01,18,26,1208_15-1 10-12,
128.41,2799.3,0.8,16,32,1208_15-1 22-24,
128.58,2805.4,0.88,12,43,1208_15-1 40-42,
128.67,2808.8,0.92,27,,1208_15-1 50-52,
128.8,2813.3,0.84,13,25,1208_15-1 63-65,
128.86,2815.7,0.88,19,20,1208_15-1 70-72,
128.96,2819.1,0.93,15,56,1208_15-1 80-82,
129.05,2822.5,0.81,46,113,1208_15-1 90-92,
129.15,2825.4,0.9,34,34,1208_15-1 100-102,
129.24,2828.3,0.99,32,32,1208_15-1 110-112,
129.36,2832.1,0.96,40,447,1208_15-1 123-125,
129.43,2834.1,0.9,31,46,1208_15-1 130-132,
129.52,2837,0.77,20,16,1208_15-1 140-142,
129.62,2840,0.95,17,27,1208_15-2 0-2,
129.71,2841.7,0.86,8,70,1208_15-2 10-12,
129.81,2843.5,1,41,48,1208_15-2 20-22,
129.9,2845.2,0.87,31,37,1208_15-2 30-32,
130.02,2847.5,0.79,19,38,1208_15-2 43-45,
130.09,2848.8,0.88,43,64,1208_15-2 50-52,
130.28,2852.3,0.84,18,16,1208_15-2 70-72,
130.37,2854,0.93,28,48,1208_15-2 80-82,
130.47,2855.8,1.06,31,98,1208_15-2 90-92,
130.56,2857.5,0.84,21,36,1208_15-2 100-102,
130.66,2860.1,0.92,32,773,1208_15-2 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
130.78,2863.3,0.8,16,46,1208_15-2 123-125,
130.85,2865,0.84,15,25,1208_15-2 130-132,
130.94,2867.5,0.94,17,45,1208_15-2 140-142,
131.04,2870,1.03,28,60,1208_15-3 0-2,
131.13,2872.5,0.85,19,46,1208_15-3 10-12,
131.13,2872.5,0.79,14,9,1208_15-3 10-12,
131.21,2874.5,0.99,11,495,1208_15-3 18-20,
131.32,2877.5,0.93,24,2044,1208_15-3 30-32,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
131.41,2879.6,1.02,7,216,1208_15-3 40-42,
131.51,2881.8,0.82,23,37,1208_15-3 50-52,
131.62,2884.4,0.96,19,25,1208_15-3 62-64,
131.7,2886.1,1.05,23,54,1208_15-3 70-72,
131.79,2888.2,0.99,18,39,1208_15-3 80-82,
131.98,2892.5,0.89,16,1068,1208_15-3 100-102,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
132.08,2894.3,0.94,29,595,1208 15-3 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
132.2,2896.5,0.93,NaN,32,1208 15-3 123-125,
132.26,2897.7,0.9,19,19,1208 15-3 130-132,
132.36,2899.5,1.02,18,21,1208 15-3 140-142,
132.45,2901.2,0.88,25,28,1208 15-4 0-2,
132.55,2903,1.03,17,7,1208 15-4 10-12,
132.64,2904.7,0.9,15,17,1208 15-4 20-22,
132.74,2906.4,0.75,12,12,1208 15-4 30-32,
133.4,2928.7,0.84,NaN,50,1208 15-4 100-102,
133.4,2928.7,0.83,NaN,74,1208 15-4 100-102R,
133.49,2932.4,0.79,16,47,1208 15-4 110-112,
133.68,2938.9,0.88,13,35,1208 15-4 130-132,
134.53,2958.4,0.91,NaN,52,1208 15-5 70-72,
134.82,2965,0.89,NaN,52,1208 15-5 100-102,
134.91,2967.8,1.02,16,422,1208 15-5 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
135.03,2971.7,0.92,13,11,1208 15-5 123-125,
135.03,2971.7,0.87,34,16,1208 15-5 123-125R,
135.1,2973.7,0.97,16,12,1208 15-5 130-132,
135.19,2976.7,0.83,16,23,1208 15-5 140-142,
135.38,2982.5,1,16,22,1208 15-6 10-12,
135.48,2985.5,0.94,26,23,1208 15-6 20-22,
135.57,2988.4,0.97,29,85,1208 15-6 30-32,
135.67,2991.3,0.95,33,57,1208 15-6 40-42,
135.76,2994.2,0.9,NaN,37,1208 15-6 50-52,
135.86,2997.1,0.96,20,42,1208 15-6 60-62,
135.95,3000,0.88,18,25,1208 15-6 70-72,
136.04,3002.1,1,23,33,1208 15-6 80-82,
136.14,3004.2,0.96,21,45,1208 15-6 90-92,
136.23,3006.3,1.04,21,25,1208 15-6 100-102,
136.33,3008.4,0.89,20,44,1208 15-6 110-112,
136.45,3011.1,0.91,23,87,1208 15-6 123-125,
136.52,3012.6,0.83,19,115,1208_15-6 130-132,
136.61,3014.6,0.81,19,16,1208_15-6 140-142R,
136.61,3014.6,0.76,26,20,1208 15-6 140-142,
136.71,3016.7,0.91,16,41,1208 15-7 0-2,
137.08,3025,0.89,NaN,44,1208 15-7 40-42,
137.18,3027.9,0.88,12,10,1208_15-7 50-52,
137.27,3030.6,0.8,28,42,1208_15-7 60-62,
137.37,3033.3,0.8,13,11,1208_15-7 70-72,
137.41,3034.4,0.78,18,28,1208_15-CC 0-2,
137.5,3037.1,0.84,22,118,1208_15-CC 10-12,
137.6,3040,0.88,17,25,1208_15-CC 20-22,
137.75,3045,1.01,15,33,1208_16-1 5-7,
137.78,3045.7,1.05,24,354,1208 16-1 9-11R,
137.91,3047.9,1.11,31,110,1208_16-1 22-24,
137.91,3047.9,0.75,20,37,1208 16-1 22-24R,
137.98,3049.4,0.95,16,37,1208_16-1 30-32,
138.17,3052.9,0.8,15,35,1208_16-1 50-52,
138.28,3055,0.85,31,42,1208_16-1 62-64,
138.36,3056.4,0.93,29,32,1208_16-1 70-72,
138.44,3058,0.89,64,49,1208_16-1 79-80,
138.57,3061.5,0.9,23,28,1208_16-1 93-95,
138.64,3063.2,0.88,38,20,1208_16-1 100-102,
138.71,3065.1,1.05,20,15,1208_16-1 108-110,
138.79,3067.1,1.12,34,46,1208_16-1 116-118,
138.92,3070.5,0.89,25,17,1208_16-1 130-132,
139.01,3072.9,1.01,21,8,1208_16-1 140-142,
139.11,3075.4,1.05,25,27,1208_16-2 0-2,
139.2,3077.8,0.99,21,46,1208_16-2 10-12,
139.3,3080.3,1.02,25,29,1208_16-2 20-22,
139.39,3082.7,1.09,22,19,1208_16-2 30-32,
139.47,3084.7,0.95,21,25,1208_16-2 38-40,
139.58,3087.6,1.05,NaN,148,1208_16-2 50-52,
139.67,3090,0.93,20,10,1208_16-2 60-62,
139.86,3095,0.93,25,18,1208_16-2 80-82,
139.95,3097.5,0.96,40,42,1208_16-2 90-92,
140.05,3100,0.93,33,19,1208_16-2 100-102,
140.14,3102.1,0.96,14,57,1208_16-2 110-112,
140.25,3104.7,0.89,28,36,1208_16-2 122-124,
140.42,3108.7,0.89,20,12,1208_16-2 140-142,
140.63,3113.5,0.76,13,10,1208 16-3 12-14,
140.77,3116.8,0.79,22,12,1208 16-3 27-29,
140.91,3120,0.83,16,4,1208 16_3 42-44,
140.99,3122.1,0.8,16,4,1208 16_3 50-52,
141.1,3125.2,0.82,19,23,1208 16_3 62-64,
141.17,3127.2,0.77,13,7,1208 16_3 70-72,
141.27,3129.8,0.68,27,34,1208 16_3 80-82,
141.83,3145.1,0.8,33,60,1208 16_3 140-142,
142.11,3152.7,0.91,23,28,1208 16_4 20-22,
142.2,3154.9,0.85,26,43,1208 16_4 29-31,
142.43,3161.1,0.94,NaN,23,1208 16_4 54-56,
142.57,3164.8,0.97,43,50,1208 16_4 69-71,
142.77,3170,0.9,38,52,1208 16_4 90-92,
143.35,3184.6,0.79,15,29,1208 16-5 2-4,
143.48,3189.8,0.88,13,41,1208 16-5 15-17,
143.66,3197.2,0.68,10,6,1208 16-5 32-34,
143.71,3199.3,0.84,38,73,1208_16-5 40-42,
143.9,3207.1,0.91,58,114,1208_16-5 60-62,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
144.16,3217.5,0.91,16,25,1208 16-5 88-90,
144.18,3218.2,0.89,52,85,1208_16-5 90-92,
144.27,3221.5,0.83,20,21,1208_16-5 100-102,
144.37,3224.9,0.97,11,15,1208_16-5 110-112,
144.37,3224.9,1.07,20,28,1208_16-5 110-112,
144.48,3228.9,0.91,20,104,1208_16-5 122-124,
144.55,3231.6,0.79,15,20,1208_16-5 130-132,
145.21,3250,0.88,64,102,1208_16-6 50-52 sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),
145.49,3257.5,0.79,18,191,1208_16-6 80-82,
145.78,3265,0.75,8,79,1208_16-6 110-112,
146.24,3277.5,0.84,18,33,1208_16-7 10-12,
146.34,3280,0.8,21,32,1208_16-7 20-22,
146.45,3282.6,0.77,32,447,1208_16-7 32-34,
146.53,3284.4,0.84,14,19,1208_16-7 40-42,
146.62,3286.7,0.77,17,32,1208_16-7 50-52,
146.71,3288.9,0.87,18,29,1208_16-7 60-62,
146.81,3291.1,0.76,11,8,1208_16-7 70-72,
147.32,3303.4,0.89,19,24,1208_17-1 13-15,
147.6,3310,0.71,15,10,1208 17-1 42-44,
147.79,3314.2,0.85,34,48,1208 17-1 63-65,
147.87,3315.9,0.81,129,78,1208 17-1 71-73,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text)
147.87,3315.9,0.79,25,23,1208 17-1 71-73,