mbsf,age_ka,d18O,d13C,mcd,age_ma,d18Oadj
123.14,2661,2.52,0.08,128.11,2.661048342,3.16
123.24,2663,2.59,-0.14,128.21,2.663161549,3.23
123.33,2665,2.59,0,128.31,2.665274755,3.23
123.43,2667,2.74,0,128.41,2.667387962,3.38
123.52,2670,2.66,-0.1,128.51,2.669501168,3.3
123.61,2672,2.56,0.06,128.61,2.671614374,3.2
123.71,2674,2.75,-0.27,128.71,2.673727581,3.39
123.8,2676,2.83,-0.32,128.81,2.675840787,3.47
123.9,2678,3.1,-0.11,128.91,2.677953994,3.74
123.99,2680,2.87,-0.4,129.01,2.68,3.51
124.12,2682,3.04,-0.48,129.14,2.681907258,3.68
124.18,2683,3.1,-0.33,129.21,2.682909721,3.74
124.28,2684,,-0.35,129.31,2.684341811,
124.4,2686,3.31,-0.34,129.44,2.686203529,3.95
124.47,2687,3.34,-0.36,129.51,2.687205992,3.98
124.56,2689,3.24,-0.45,129.61,2.688638082,3.88
124.65,2690,3.2,-0.5,129.71,2.69,3.84
124.75,2693,3,-0.26,129.81,2.693098417,3.64
124.84,2696,3.13,-0.43,129.91,2.696052103,3.77
124.94,2699,3.01,-0.1,130.01,2.699005789,3.65
125.03,2702,3,-0.16,130.11,2.701959475,3.64
125.13,2705,3.16,-0.19,130.21,2.705,3.8
125.22,2707,3.14,-0.45,130.31,2.706598485,3.78
125.32,2708,3.16,-0.44,130.41,2.708245389,3.8
125.41,2710,2.82,-0.59,130.51,2.709892292,3.46
125.53,2712,3.2,-0.48,130.64,2.712033267,3.84
125.6,2713,3.18,-0.5,130.71,2.7131861,3.82
125.69,2715,2.99,-0.41,130.81,2.714833004,3.63
125.82,2717,3.15,-0.42,130.94,2.716973979,3.79
125.88,2718,3.22,-0.38,131.01,2.718126812,3.86
125.98,2720,2.96,-0.23,131.11,2.719773715,3.6
126.07,2721,3.12,-0.47,131.21,2.721420619,3.76
126.17,2723,3.09,-0.16,131.31,2.723067523,3.73
126.26,2725,3.1,-0.34,131.41,2.724714427,3.74
126.36,2726,,,131.51,2.726361331,
126.45,2728,2.86,0.02,131.61,2.728,3.5
126.54,2731,2.69,0.1,131.71,2.730699731,3.33
126.64,2733,2.6,0.13,131.81,2.733386031,3.24
126.73,2736,2.6,-0.08,131.91,2.736072331,3.24
126.83,2739,2.51,-0.08,132.01,2.738758631,3.15
126.95,2742,2.37,-0.06,132.14,2.742250821,3.01
127.02,2744,2.49,-0.03,132.21,2.744131231,3.13
127.11,2747,2.4,-0.29,132.31,2.746817531,3.04
127.23,2750,2.6,-0.2,132.44,2.75030972,3.24
127.3,2752,2.36,-0.42,132.51,2.75219013,3
127.4,2755,2.5,-0.44,132.61,2.755,3.14
127.49,2759,2.74,-0.25,132.71,2.75857818,3.38
127.58,2762,2.61,-0.19,132.81,2.762328892,3.25
127.68,2766,2.52,-0.2,132.91,2.766079605,3.16
127.8,2771,2.59,-0.03,133.04,2.770955532,3.23
127.87,2774,2.68,0.19,133.11,2.77358103,3.32
127.93,2776,2.73,0.18,133.18,2.776206529,3.37
128.03,2780,2.61,0,133.28,2.78,3.25
128.12,2786,2.62,0.14,133.38,2.785606427,3.26
128.23,2792,2.77,0.07,133.49,2.791901323,3.41
128.29,2795,2.73,0.02,133.56,2.795,3.37
128.41,2799,2.9,-0.41,133.68,2.799260122,3.54
128.48,2802,,-0.35,133.76,2.801985728,
128.58,2805,,,133.86,2.805392735,
128.67,2809,3.04,-0.16,133.96,2.808799742,3.68
128.8,2813,2.91,-0.11,134.09,2.813228852,3.55
128.86,2816,2.9,0.01,134.16,2.815613757,3.54
128.96,2819,2.84,0.14,134.26,2.819020764,3.48
129.05,2823,2.64,0.15,134.36,2.8225,3.28
129.15,2825,2.67,0,134.46,2.825386099,3.31
129.24,2828,2.56,0.19,134.56,2.828334709,3.2
129.36,2832,2.52,0.1,134.69,2.832167902,3.16
129.43,2834,2.82,-0.01,134.76,2.834231929,3.46
129.52,2837,2.63,0.06,134.86,2.837180539,3.27
129.62,2840,2.7,0.19,134.96,2.84,3.34
129.71,2842,2.9,-0.18,135.06,2.841810447,3.54
129.81,2844,2.89,-0.01,135.16,2.843544923,3.53
129.9,2845,2.85,-0.03,135.26,2.845279399,3.49
130.02,2848,2.89,-0.06,135.39,2.847534219,3.53
130.09,2849,2.88,-0.03,135.46,2.848748352,3.52
130.18,2850,2.93,-0.02,135.56,2.850482829,3.57
130.28,2852,2.85,,135.66,2.852217305,3.49
130.37,2854,2.78,-0.12,135.76,2.853951782,3.42
130.47,2856,2.78,-0.24,135.86,2.855686258,3.42
130.56,2858,2.67,0,135.96,2.8575,3.31
130.66,2860,2.54,0.16,136.06,2.859899879,3.18
130.78,2863,2.65,0.05,136.19,2.863169127,3.29
130.85,2865,2.62,0.18,136.26,2.864929491,3.26
130.94,2867,2.59,,136.36,2.867444297,3.23
131.04,2870,2.65,-0.18,136.46,2.869959103,3.29
131.13,2872,2.75,-0.03,136.56,2.872473909,3.39
131.21,2874,2.69,-0.12,136.64,2.874485754,3.33
131.32,2878,2.85,0.03,136.76,2.8775,3.49
131.41,2880,2.82,0.06,136.86,2.879644846,3.46
131.51,2882,3.01,-0.32,136.96,2.881786693,3.65
131.62,2884,2.94,-0.31,137.08,2.88435691,3.58
131.7,2886,2.84,-0.02,137.16,2.886070388,3.48
131.79,2888,2.93,-0.05,137.26,2.888212236,3.57
131.89,2890,2.84,-0.17,137.36,2.890354083,3.48
131.98,2893,2.81,0.16,137.46,2.8925,3.45
132.08,2894,2.67,0.03,137.56,2.89425179,3.31
132.2,2897,2.66,0.02,137.69,2.896533453,3.3
132.26,2898,,0.08,137.76,2.89776204,
132.36,2900,2.66,0.12,137.86,2.899517165,3.3
132.45,2901,2.67,-0.04,137.96,2.90127229,3.31
132.55,2903,2.79,-0.03,138.06,2.903027415,3.43
132.64,2905,2.7,-0.18,138.16,2.90478254,3.34
132.74,2907,2.6,-0.35,138.26,2.906537665,3.24
132.83,2908,2.7,-0.09,138.36,2.90829279,3.34
132.93,2910,2.75,-0.26,138.46,2.91,3.39
133.02,2914,,-0.26,138.56,2.91383873,
133.11,2918,2.9,-0.38,138.66,2.917575448,3.54
133.21,2921,,,138.76,2.921312165,
133.3,2925,,,138.86,2.925048883,
133.4,2929,,-0.31,138.96,2.928785601,
133.49,2933,2.84,-0.63,139.06,2.932522318,3.48
133.62,2938,2.57,-0.31,139.19,2.9375,3.21
133.68,2939,2.47,,139.26,2.938946138,3.11
133.78,2941,2.47,0.02,139.36,2.941111339,3.11
133.87,2943,2.37,-0.14,139.46,2.943276539,3.01
133.97,2945,2.55,0.1,139.56,2.94544174,3.19
134.04,2947,2.43,-0.1,139.64,2.947173901,3.07
134.15,2950,2.26,0.1,139.76,2.949772142,2.9
134.25,2952,2.23,-0.3,139.86,2.951937343,2.87
134.34,2954,2.64,-0.06,139.96,2.954102544,3.28
134.44,2956,2.54,,140.06,2.956267745,3.18
134.53,2958,2.68,-0.11,140.16,2.958432946,3.32
134.63,2961,2.74,0.03,140.26,2.960598147,3.38
134.72,2963,2.75,-0.16,140.36,2.962763347,3.39
134.82,2965,2.54,-0.06,140.46,2.965,3.18
134.91,2968,2.87,0,140.56,2.967851306,3.51
135.03,2972,2.86,0.03,140.69,2.971684499,3.5
135.1,2974,3.06,0.01,140.76,2.973748526,3.7
135.19,2977,2.91,-0.07,140.86,2.976697136,3.55
135.29,2980,2.71,-0.01,140.96,2.979645746,3.35
135.38,2983,2.78,0.14,141.06,2.9825,3.42
135.48,2985,2.38,-0.02,141.16,2.985483299,3.02
135.57,2988,2.62,0.05,141.26,2.988374094,3.26
135.67,2991,2.39,-0.08,141.36,2.991264888,3.03
135.76,2994,2.57,-0.06,141.46,2.994155682,3.21
135.86,2997,2.64,-0.13,141.56,2.997046476,3.28
135.95,3000,2.92,-0.24,141.66,3,3.56
136.04,3002,2.87,-0.26,141.76,3.002040046,3.51
136.14,3004,2.94,-0.32,141.86,3.004125343,3.58
136.23,3006,2.87,-0.34,141.96,3.00621064,3.51
136.33,3008,2.93,-0.45,142.06,3.008295937,3.57
136.45,3011,2.84,-0.63,142.19,3.011006823,3.48
136.52,3012,2.89,-0.38,142.26,3.012466531,3.53
136.61,3015,2.93,-0.3,142.36,3.014551828,3.57
136.71,3017,2.98,-0.34,142.46,3.016637125,3.62
136.8,3019,2.93,-0.25,142.56,3.018722422,3.57
136.9,3021,2.74,-0.24,142.66,3.020807719,3.38
136.99,3023,3,-0.4,142.76,3.022893016,3.64
137.08,3025,2.72,-0.45,142.86,3.025,3.36
137.18,3028,2.73,-0.31,142.96,3.027778995,3.37
137.27,3031,2.39,-0.12,143.06,3.030587195,3.03
137.37,3033,2.43,-0.37,143.16,3.033395395,3.07
137.41,3035,2.5,-0.46,143.2,3.034518675,3.14
137.5,3037,2.44,-0.29,143.3,3.037326874,3.08
137.6,3040,2.66,-0.26,143.4,3.04,3.3
137.75,3045,2.7,-0.45,143.56,3.045,3.34
137.78,3046,,,143.6,3.045650133,
137.91,3048,2.73,-0.4,143.73,3.047949922,3.37
137.98,3049,2.46,-0.31,143.81,3.049365177,3.1
138.09,3051,2.64,-0.14,143.93,3.051488059,3.28
138.17,3053,2.55,-0.14,144.01,3.052903314,3.19
138.28,3055,2.49,-0.08,144.13,3.055026196,3.13
138.36,3056,2.56,0.1,144.21,3.056441451,3.2
138.44,3058,2.23,0.02,144.3,3.058,2.87
138.57,3061,2.17,0.02,144.44,3.061466392,2.81
138.64,3063,2.34,0.04,144.51,3.063176381,2.98
138.71,3065,2.51,0.21,144.59,3.065130654,3.15
138.79,3067,2.48,0.25,144.67,3.067084927,3.12
138.92,3071,2.62,,144.81,3.070504905,3.26
139.01,3073,2.42,,144.91,3.072947746,3.06
139.11,3075,2.59,0.1,145.01,3.075390587,3.23
139.2,3078,2.49,-0.05,145.11,3.077833429,3.13
139.3,3080,2.6,0.22,145.21,3.08027627,3.24
139.39,3083,2.45,-0.3,145.31,3.082719111,3.09
139.47,3085,2.61,-0.11,145.39,3.084673384,3.25
139.58,3088,2.62,0.01,145.51,3.087604794,3.26
139.67,3090,2.8,0.05,145.61,3.09,3.44
139.77,3093,2.63,0.02,145.71,3.09251915,3.27
139.86,3095,2.6,0.14,145.81,3.094990116,3.24
139.95,3097,2.85,0.12,145.91,3.097461082,3.49
140.05,3100,2.47,0.05,146.01,3.1,3.11
140.14,3102,2.56,0.12,146.11,3.102123594,3.2
140.25,3105,2.61,0.11,146.23,3.104743968,3.25
140.33,3106,2.66,0.07,146.31,3.106490883,3.3
140.42,3109,2.54,0.04,146.41,3.108674528,3.18
140.52,3111,2.7,-0.05,146.51,3.110858172,3.34
140.61,3113,2.7,-0.11,146.61,3.113041817,3.34
140.72,3116,2.79,-0.08,146.73,3.11566219,3.43
140.8,3117,2.76,-0.45,146.81,3.117409106,3.4
140.91,3120,2.69,-0.26,146.93,3.12,3.33
140.99,3122,2.8,-0.09,147.01,3.122083227,3.44
141.1,3125,2.75,-0.4,147.13,3.12515621,3.39
141.17,3127,2.93,-0.21,147.21,3.127204866,3.57
141.27,3130,2.75,-0.29,147.31,3.129765685,3.39
141.34,3132,2.94,-0.49,147.39,3.131814341,3.58
141.46,3135,2.95,-0.48,147.51,3.134887324,3.59
141.55,3137,2.96,-0.34,147.61,3.137448143,3.6
141.62,3139,2.81,-0.61,147.69,3.139496799,3.45
141.73,3142,2.96,-0.24,147.8,3.1423137,3.6
141.83,3145,,,147.91,3.145130602,
141.93,3148,2.53,,148.01,3.147691421,3.17
142.01,3150,2.56,-0.43,148.1,3.15,3.2
142.11,3153,2.52,-0.1,148.21,3.152714356,3.16
142.2,3155,2.36,-0.35,148.3,3.154938226,3
142.34,3159,2.4,-0.19,148.45,3.158644675,3.04
142.43,3161,2.47,-0.11,148.55,3.161115641,3.11
142.49,3163,2.61,-0.13,148.61,3.162598221,3.25
142.57,3165,2.41,0.02,148.7,3.16482209,3.05
142.67,3167,2.48,0.06,148.8,3.167293057,3.12
142.77,3170,2.68,-0.28,148.91,3.17,3.32
142.86,3172,2.66,0.02,149.01,3.172006793,3.3
142.96,3174,2.76,-0.02,149.11,3.174004595,3.4
143.07,3176,2.69,0.09,149.23,3.176401958,3.33
143.15,3178,2.71,0.21,149.31,3.1780002,3.35
143.24,3180,2.62,0.1,149.41,3.18,3.26
143.33,3184,2.47,0.24,149.51,3.183862469,3.11
143.43,3188,2.34,0.23,149.61,3.187728804,2.98
143.55,3193,2.63,0.2,149.74,3.19275504,3.27
143.62,3195,2.48,0.24,149.81,3.195461475,3.12
143.71,3199,2.41,0.24,149.91,3.19932781,3.05
143.8,3203,2.42,0.01,150.01,3.203194145,3.06
143.9,3207,2.43,0.03,150.11,3.207060481,3.07
143.99,3211,2.41,0.15,150.21,3.210926816,3.05
144.08,3215,2.51,0.33,150.31,3.215,3.15
144.18,3218,2.42,,150.41,3.218174044,3.06
144.27,3222,2.54,0.02,150.51,3.221527498,3.18
144.37,3225,2.59,0.15,150.61,3.224880952,3.23
144.48,3229,2.64,0.06,150.73,3.228905097,3.28
144.55,3232,2.61,0.1,150.81,3.23158786,3.25
144.65,3235,2.57,-0.05,150.91,3.235,3.21
144.74,3237,2.43,-0.09,151.01,3.237456455,3.07
144.84,3240,2.49,0.16,151.11,3.239956663,3.13
144.93,3242,2.52,0.21,151.21,3.242456871,3.16
145.02,3245,2.36,0.03,151.31,3.24495708,3
145.14,3248,2.42,0.08,151.43,3.24795733,3.06
145.21,3250,2.5,0.03,151.51,3.249957496,3.14
145.31,3252,2.7,-0.25,151.61,3.252457705,3.34
145.4,3255,2.54,0.01,151.71,3.254957913,3.18
145.49,3257,2.6,0.06,151.81,3.257458122,3.24
145.59,3260,2.81,0.01,151.91,3.25995833,3.45
145.68,3262,2.65,-0.05,152.01,3.262458538,3.29
145.78,3265,2.58,0.08,152.11,3.264958747,3.22
145.89,3268,2.67,0.21,152.23,3.267958997,3.31
145.97,3270,2.64,,152.32,3.270209184,3.28
146.06,3272,2.6,0.1,152.41,3.272459372,3.24
146.18,3276,2.65,-0.01,152.54,3.275709642,3.29
146.24,3277,2.67,0.15,152.61,3.277459788,3.31
146.34,3280,2.63,0.09,152.71,3.28,3.27
146.45,3283,2.68,0.05,152.83,3.282646993,3.32
146.53,3284,2.85,-0.03,152.91,3.284435502,3.49
146.62,3287,2.88,-0.11,153.01,3.286671138,3.52
146.71,3289,3.05,-0.35,153.11,3.288906774,3.69
146.81,3291,3.19,-0.19,153.21,3.29114241,3.83
146.94,3294,3.14,-0.35,153.35,3.2942723,3.78
147.03,3297,3.25,-0.34,153.45,3.296507937,3.89
147.23,3301,3.01,-0.2,153.66,3.301150681,3.65
147.32,3303,,-0.27,153.76,3.303398984,
147.42,3306,2.97,-0.49,153.86,3.305647286,3.61
147.49,3307,2.91,-0.32,153.94,3.307445928,3.55
147.6,3310,2.9,-0.14,154.05,3.31,3.54
147.67,3312,2.82,-0.17,154.13,3.311560798,3.46
147.79,3314,2.67,0.01,154.26,3.314216605,3.31
147.87,3316,2.6,-0.04,154.34,3.315850948,3.24
147.97,3318,2.72,-0.23,154.45,3.31809817,3.36
148.05,3320,2.7,0.02,154.53,3.319732513,3.34
148.16,3322,2.72,0.02,154.65,3.322184027,3.36
148.24,3324,2.72,-0.03,154.73,3.32381837,3.36
148.36,3326,2.69,-0.14,154.86,3.326474177,3.33
148.43,3328,2.56,-0.05,154.93,3.327904228,3.2
148.54,3330,2.77,-0.02,155.05,3.330355742,3.41
148.64,3333,2.67,-0.02,155.16,3.3325,3.31
148.71,3335,2.86,-0.18,155.23,3.335138378,3.5
148.83,3340,2.76,-0.21,155.36,3.339709129,3.4
148.9,3342,2.92,-0.11,155.43,3.342170303,3.56
149.01,3346,2.74,-0.1,155.55,3.346389458,3.38
149.11,3350,2.7,-0.05,155.65,3.35,3.34
149.2,3354,2.7,-0.07,155.75,3.353910152,3.34
149.28,3357,2.66,0.14,155.83,3.357124746,3.3
149.39,3362,2.66,-0.25,155.95,3.361946638,3.3
149.47,3365,2.58,-0.05,156.03,3.365161232,3.22
149.58,3370,2.66,-0.11,156.15,3.37,3.3
149.66,3372,2.72,-0.24,156.23,3.372210187,3.36
149.77,3376,2.79,-0.27,156.35,3.375542965,3.43
149.84,3378,2.81,-0.36,156.43,3.377764817,3.45
149.96,3381,2.76,-0.38,156.55,3.381097595,3.4
150.06,3384,2.82,-0.23,156.66,3.384152641,3.46
150.13,3386,2.75,-0.14,156.73,3.386096762,3.39
150.24,3389,2.66,-0.04,156.85,3.38942954,3.3
150.32,3392,2.54,-0.05,156.93,3.391651391,3.18
150.43,3395,2.52,-0.06,157.05,3.395,3.16
150.51,3397,2.62,-0.05,157.13,3.396630537,3.26
150.62,3399,2.55,-0.13,157.25,3.399093895,3.19
150.69,3401,2.55,-0.02,157.33,3.400736133,3.19
150.81,3403,2.62,-0.07,157.45,3.403199491,3.26
150.88,3405,2.63,-0.02,157.53,3.404841729,3.27
150.95,3406,2.47,-0.02,157.6,3.406278688,3.11
151.07,3409,2.43,0,157.73,3.408947325,3.07
151.18,3411,2.51,-0.09,157.85,3.411410683,3.15
151.26,3413,2.34,-0.11,157.93,3.413052921,2.98
151.37,3416,2.55,-0.16,158.05,3.415516279,3.19
151.48,3418,2.51,-0.21,158.16,3.417774356,3.15
151.54,3419,2.42,,158.23,3.419211315,3.06
151.66,3422,2.53,-0.2,158.35,3.421674673,3.17
151.73,3423,2.61,-0.19,158.43,3.423316911,3.25
151.85,3426,2.49,-0.29,158.55,3.425780269,3.13
151.94,3428,2.48,0.02,158.65,3.427833066,3.12
152.03,3430,2.58,-0.07,158.75,3.429885864,3.22
152.11,3432,2.48,-0.1,158.83,3.431528103,3.12
152.22,3434,2.59,0.11,158.95,3.43399146,3.23
152.3,3436,,0.31,159.03,3.435633699,
152.41,3438,2.5,0.07,159.15,3.438097056,3.14
152.49,3440,2.46,-0.02,159.23,3.439739295,3.1
152.6,3442,2.51,0.15,159.35,3.442202652,3.15
152.68,3444,,0.01,159.43,3.443844891,
152.79,3446,2.43,0.02,159.55,3.446308248,3.07
152.89,3449,2.36,-0.01,159.66,3.448566326,3
152.96,3450,2.56,-0.15,159.73,3.45,3.2
153.07,3454,2.55,-0.13,159.85,3.453846289,3.19
153.15,3456,2.5,-0.16,159.93,3.456407068,3.14
153.26,3460,2.54,0.02,160.05,3.460248235,3.18
153.34,3463,2.66,0.19,160.13,3.462809014,3.3
153.45,3467,2.64,0.25,160.25,3.466650182,3.28
153.55,3470,2.45,0.28,160.35,3.47,3.09
153.64,3475,2.47,0.35,160.45,3.475331184,3.11
153.72,3480,2.4,0.23,160.53,3.479804123,3.04
153.83,3487,2.34,0.36,160.65,3.486513531,2.98
153.9,3491,2.54,0.32,160.73,3.490986469,3.18
154.02,3498,2.41,0.28,160.85,3.497695877,3.05
154.09,3502,,0.24,160.93,3.502168816,
154.21,3509,2.41,0.29,161.05,3.508878224,3.05
154.31,3515,2.48,0.18,161.16,3.515,3.12
154.38,3517,2.6,0.18,161.23,3.516623943,3.24
154.49,3519,2.66,0.15,161.35,3.51938771,3.3
154.57,3521,2.62,0.23,161.43,3.521230222,3.26
154.68,3524,2.55,0.07,161.55,3.523993989,3.19
154.77,3526,2.53,0.2,161.65,3.526297128,3.17
154.87,3529,2.57,0.19,161.75,3.528600267,3.21
154.94,3530,2.49,0.21,161.83,3.530442779,3.13
155.06,3533,2.48,0.19,161.95,3.533206546,3.12
155.13,3535,2.51,0.24,162.03,3.535,3.15
155.25,3537,2.29,0.21,162.15,3.537035161,2.93
155.32,3538,2.35,0.22,162.23,3.538368272,2.99
155.43,3540,2.36,0.06,162.35,3.540367939,3
155.51,3542,2.34,0.01,162.43,3.54170105,2.98
155.62,3544,2.36,0.05,162.55,3.543700717,3
155.73,3546,2.43,0.08,162.66,3.545533744,3.07
155.79,3547,2.47,0.15,162.73,3.546700217,3.11
155.91,3549,2.45,-0.12,162.85,3.548699883,3.09
155.98,3550,2.54,0.03,162.93,3.55,3.18
156.1,3556,2.61,0.18,163.05,3.555759207,3.25
156.17,3560,2.58,0.12,163.13,3.559536355,3.22
156.28,3565,2.55,0.22,163.25,3.565,3.19
156.36,3567,2.42,0.26,163.33,3.567487016,3.06
156.41,3569,2.32,0.17,163.38,3.568962465,2.96
156.5,3572,2.34,0.11,163.48,3.571913362,2.98
156.6,3575,2.35,0.29,163.58,3.575,2.99
156.73,3582,2.67,0.2,163.72,3.58176121,3.31
156.79,3585,2.5,0.39,163.79,3.585256666,3.14
156.93,3592,2.47,0.34,163.93,3.592247578,3.11
156.98,3595,2.39,0.23,163.99,3.595,3.03
157.1,3600,2.38,0.4,164.11,3.600196578,3.02
157.17,3604,2.28,0.37,164.19,3.603525583,2.92
157.29,3609,2.32,0.04,164.31,3.608519092,2.96
157.36,3612,2.3,0.07,164.39,3.611848097,2.94
157.48,3617,2.51,0.1,164.51,3.616841606,3.15
157.55,3620,2.51,-0.02,164.59,3.62,3.15
157.67,3624,2.56,0.03,164.71,3.623532258,3.2
157.74,3626,,0.02,164.79,3.625809298,
157.86,3629,,,164.91,3.629224858,
157.93,3632,2.64,-0.11,164.99,3.631501898,3.28
158.05,3635,2.54,-0.01,165.11,3.635,3.18
158.15,3639,2.3,0.01,165.22,3.639456706,2.94
158.22,3642,,,165.29,3.642369586,
158.33,3647,2.25,-0.04,165.41,3.647363095,2.89
158.41,3651,,,165.49,3.6506921,
158.52,3656,2.46,0.08,165.61,3.655685609,3.1
158.62,3660,2.52,-0.09,165.71,3.66,3.16
158.71,3663,2.61,-0.1,165.81,3.663323098,3.25
158.79,3666,2.66,-0.17,165.89,3.666083146,3.3
158.9,3670,2.51,0.06,166.01,3.670223219,3.15
158.98,3673,2.65,,166.09,3.672983267,3.29
159.09,3677,2.4,0.22,166.21,3.67712334,3.04
159.17,3680,2.36,0.27,166.29,3.68,3
159.28,3687,2.17,0.16,166.41,3.687376344,2.81
159.36,3692,2.19,0.05,166.49,3.692436433,2.83
159.47,3700,2.43,-0.09,166.61,3.7,3.07