mbsf,mcd,age_ka,d18O_uvi,d18O_cibs,d18O_pl,d13C_uvi,d13C_cibs,d13C_pl,label
0,,0,4.072626073,,0.2749,-0.784128739,,0.732912457,1209B 1H 1W 0-2
0,,0,4.34,,,-0.71,,,1209B 1H 1W 0-1
0,,0,,3.71,,,-0.03,,1209B 1H 1W 0-1
0.04,,3.6,3.69,,,-0.47,,,1209B 1H 1W 4-5
0.04,,3.6,,3.39,,,-0.06,,1209B 1H 1W 4-5
0.08,,7.2,3.86,,,-0.67,,,1209B 1H 1W 8-9
0.08,,7.2,,4.08,,,-0.12,,1209B 1H 1W 8-9
0.12,,10.8,4.39,,,-0.64,,,1209B 1H 1W 12-13
0.12,,10.8,,4.06,,,-0.23,,1209B 1H 1W 12-13
0.16,,14.4,3.96,,,-0.58,,,1209B 1H 1W 16-17
0.16,,14.4,,3.99,,,-0.34,,1209B 1H 1W 16-17
0.18,,16.2,4.45,,,-0.63,,,1209B 1H 1W 18-19
0.18,,16.2,,4.31,,,-0.2,,1209B 1H 1W 18-19
0.28,,32.4,2.41,,,-1.97,,,1209B 1H 1W 28-29
0.28,,32.4,,4.41,,,-0.22,,1209B 1H 1W 28-29
0.32,,39.6,5.01,,,-0.8,,,1209B 1H 1W 32-33
0.32,,39.6,,4.37,,,-0.23,,1209B 1H 1W 32-33
0.36,,46.8,4.73,,,-0.8,,,1209B 1H 1W 36-37
0.36,,46.8,,4.28,,,-0.21,,1209B 1H 1W 36-37
0.38,,50.4,4.87,,,-0.76,,,1209B 1H 1W 38-39
0.38,,50.4,,4.13,,,-0.05,,1209B 1H 1W 38-39
0.44,,61.2,4.44,,,-0.67,,,1209B 1H 1W 44-45
0.44,,61.2,,4.31,,,-0.2,,1209B 1H 1W 44-45
0.5,,72,-0.686138412,,1.892306739,4.794951308,,1.003884965,1209B 1H 1W 50-52
0.6,,77.5,-0.738951059,,1.286999095,4.602398349,,0.887665032,1209B 1H 1W 60-62
0.7,,83,-0.78220963,,1.062505389,4.386579378,,0.822552133,1209B 1H 1W 70-72
0.8,,91.666667,-0.609117345,,0.861906583,4.386161815,,1.056969847,1209B 1H 1W 80-82
0.9,,100.333333,-0.883393692,,0.979739805,4.402377376,,0.811032438,1209B 1H 1W 90-92
1,,109,-0.780723984,,1.329677979,5.023793582,,0.547105654,1209B 1H 1W 100-102
1.1,,117,-0.545761371,,0.99079979,4.134020548,,0.87242074,1209B 1H 1W 110-112
1.2,,125,-0.924697785,,1.485548844,4.064818636,,0.281105049,1209B 1H 1W 120-122
1.3,,128.6,-0.809662568,,1.408122641,4.876187601,,0.134672231,1209B 1H 1W 130-132
1.4,,132.2,-0.921294392,,1.750073771,5.156015531,,0.257952629,1209B 1H 1W 140-142
1.5,,135.8,-0.790387185,,1.481899831,4.960491474,,0.734362752,1209B 1H 2W 0-2
1.6,,139.4,-1.047048807,,1.964795351,4.962903013,,0.464584738,1209B 1H 2W 10-12
1.7,,143,-1.20965074,,1.884943595,5.534890879,,0.254619332,1209B 1H 2W 20-22
1.8,,156,-1.115395863,,2.23806834,4.787704705,,0.717855475,1209B 1H 2W 30-32
1.9,,169,-1.110227629,,1.780441354,4.993508201,,0.717359504,1209B 1H 2W 40-42
2,,182,-1.130314469,,0.880467407,4.902789816,,0.326675601,1209B 1H 2W 50-52
2.1,,190,-1.031029136,,1.189679837,4.334084449,,0.480945762,1209B 1H 2W 60-62
2.2,,198,-1.227170485,,1.038071654,3.537829002,,0.007642183,1209B 1H 2W 70-72
2.3,,206.666667,-0.744069896,,1.371704234,4.174152613,,0.55461041,1209B 1H 2W 80-82
2.4,,215.333333,-0.957039559,,1.25233755,3.917051243,,0.29331139,1209B 1H 2W 90-92
2.5,,224,-1.029471211,,2.120185696,4.548167973,,0.296794163,1209B 1H 2W 100-102
2.6,,239,-1.229909278,,1.398651637,3.632745665,,0.308678749,1209B 1H 2W 110-112
2.7,,242.75,-1.012609125,,1.509594004,4.673132499,,0.343599172,1209B 1H 2W 120-122
2.8,,246.5,-1.1618479,,2.066593395,5.421579219,,0.604464538,1209B 1H 2W 130-132
2.9,,250.25,-1.387055686,,2.694458547,5.542200415,,0.528650461,1209B 1H 2W 140-142
3,,254,-1.3432143,,1.675574507,5.835035139,,0.24902217,1209B 1H 3W 0-2
3.1,,260.5,-1.56649714,,1.815384149,5.310586459,,0.233171781,1209B 1H 3W 10-12
3.2,,267,-1.310538006,,2.721329994,4.681870936,,0.454701974,1209B 1H 3W 20-22
3.3,,272.333333,,,2.125082475,4.724911129,,0.824296347,1209B 1H 3W 30-32
3.4,,277.666667,,,2.29565813,4.835356528,,0.625636326,1209B 1H 3W 40-42
3.5,,283,-1.098167812,,1.853370376,3.449499595,,0.759052324,1209B 1H 3W 50-52
3.6,,291,-1.252848889,,1.827254721,4.505649271,,0.729324534,1209B 1H 3W 60-62
3.7,,299,-0.994895891,,1.335325863,4.590761649,,0.859566749,1209B 1H 3W 70-72
3.8,,302.2,,,1.483465256,,,0.450514086,1209B 1H 3W 80-82
3.9,,305.4,,,1.669628112,,,0.439921393,1209B 1H 3W 90-92
4,,308.6,,,1.107583344,,,0.510300255,
4.1,,311.8,,,1.544856758,,,0.68,
4.2,,315,,,0.322558658,,,0.789160963,
4.3,,318.2,,,0.833492483,,,0.660502641,
4.4,,321.4,,,0.39704336,,,0.939854062,
4.5,,324.6,,,0.682638647,,,1.146079471,
4.6,,327.5,,,,,,1.222426247,
4.7,,331,,,0.198493111,,,0.795045308,
4.8,,342,,,1.451898101,,,0.804546748,
5.1,,380.4,,,1.135736131,,,0.819405196,
5.2,,393.2,,,0.905339132,,,0.805048607,
5.3,,406,,,0.425565857,,,0.624194944,
5.4,,411.8,,,1.440733884,,,0.741042354,
5.5,,417.6,,,1.940210487,,,0.241650502,
5.6,,423.4,,,1.573660328,,,0.47079704,
5.7,,429.2,,,2.370619547,,,0.642702084,
5.8,,435,,,2.800165517,,,0.812019206,
5.9,,440.8,,,1.826402442,,,0.974249751,
6,,446.6,,,1.421959956,,,1.054039298,