Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
S17 3536,ODP1209,B,5,H,2,5,7,35.15,38.87,CWUEL,3.23,-0.18,3.87,-0.18,2646.61444,,T16,11.1557,12.54735,2.61235,0.9315,8.4484,49.70335,1.02635,0.13075,3.0844,0.45675,10.1393,5.01425
,ODP1209,B,5,H,2,8,10,35.18,38.9,CWUEL,3.1,-0.23,3.74,-0.23,2647.68,,X2,11.65583053,14.85993253,3.384857372,1.078745541,34.6876203,41.54461264,1.009288366,0.118304412,3.671161447,0.345350942,12.81467539,15.2746965
,ODP1209,B,5,H,2,12,14,35.22,38.94,CWUEL,3.03,-0.12,3.67,-0.12,2649.12,,X3,12.01651214,15.75380354,3.324904754,1.043996842,8.609985298,47.4351041,1.013993397,0.122404403,3.288564966,0.337389544,14.66756436,12.34714991
S17 3537,ODP1209,B,5,H,2,15,17,35.25,38.97,CWUEL,3.28,-0.09,3.92,-0.09,2650.17267,,,,,,,,,,,,,,
,ODP1209,B,5,H,2,18,20,35.28,39,CWUEL,3.07,-0.06,3.71,-0.06,2651.52,,X4,11.03390421,15.84955586,2.662441485,0.996393883,5.794875881,58.11601513,1.010254637,0.119747683,3.126279594,0.408330078,15.68911208,12.68833423
,ODP1209,B,5,H,2,22,24,35.32,39.04,CWUEL,3.33,-0.16,3.97,-0.16,2653.28,,X5/X6,11.61310736,15.25876308,3.407097139,0.994396507,34.44695744,70.91603046,0.99050184,0.115672412,3.348625076,0.325666929,15.94636319,15.80426362
S17 3538,ODP1209,B,5,H,2,25,27,35.35,39.07,CWUEL,3.01,-0.06,3.65,-0.06,2654.62047,,T17,11.5928,12.4371,2.7092,0.9445,10.4908,86.7261,1.0352,0.125,3.1795,0.3318,15.9867,-278.7699
,ODP1209,B,5,H,2,28,30,35.38,39.1,CWUEL,2.99,-0.1,3.63,-0.1,2656.07,,X7,11.24386947,14.17665966,2.845378701,0.913592119,14.9388708,58.84049238,1.025371316,0.105481073,3.140143716,0.264788502,12.39929378,13.42279386
,ODP1209,B,5,H,2,32,34,35.42,39.14,CWUEL,3.13,-0.15,3.77,-0.15,2658.03,,,,,,,,,,,,,,
S17 3539,ODP1209,B,5,H,2,35,37,35.45,39.17,CWUEL,3.11,-0.03,3.75,-0.03,2659.51305,,T2,11.827,14.5276,2.6208,0.8948,11.7391,78.109,1.027,0.1277,4.3272,0.3837,19.0793,12.5481
S17 3540,ODP1209,B,5,H,2,45,47,35.55,39.27,CWUEL,3.24,-0.32,3.88,-0.32,2663.73846,,,,,,,,,,,,,,
,ODP1209,B,5,H,2,48,50,35.58,39.3,CWUEL,3.26,-0.5,3.9,-0.5,2665.11,,X8,11.4752115,16.57956551,2.701134314,1.029618716,10.50067882,72.73851683,0.996706221,0.113501335,3.654116887,0.300060748,15.219666,15.81460262
,ODP1209,B,5,H,2,52,54,35.62,39.34,CWUEL,3.19,-0.09,3.83,-0.09,2666.99,,X9,11.59072664,13.7868354,2.791041306,1.017116796,8.906812784,67.50454297,1.005778777,0.122450034,3.336014598,0.278381688,13.77224348,14.3140389
S17 3541,ODP1209,B,5,H,2,55,57,35.65,39.37,CWUEL,3.17,0,3.81,0,2668.40865,,K4,11.50599441,15.60753269,2.882025341,1.043109368,10.39219128,61.15832147,0.99947439,0.116875602,3.101740394,0.302743575,16.70736608,12.95127584
,ODP1209,B,5,H,2,58,60,35.68,39.4,CWUEL,2.94,0.04,3.58,0.04,2670.02,,Z1,11.50392855,15.11183019,3.048126111,1.08577142,12.33307418,80.53946279,0.996647806,0.13880106,3.167402986,0.21794274,12.65423724,12.35321572
S18 0781,ODP1209,B,5,H,2,60,62,35.7,39.42,CWUEL,3.05,-0.05,3.69,-0.05,2671.07733,,T3,12.8386,17.103,2.7522,1.1383,10.9235,72.1398,1.0295,0.129,4.0539,0.1611,11.3517,4.8148
,ODP1209,B,5,H,2,62,64,35.72,39.44,CWUEL,3.07,-0.23,3.71,-0.23,2672.26,,Z2,11.79520133,15.38842195,2.907786377,0.974305074,11.16714124,68.70128738,1.00998708,0.122509436,3.409835925,0.171612563,13.50037747,12.73081647
S17 3542,ODP1209,B,5,H,2,65,67,35.75,39.47,CWUEL,2.95,-0.17,3.59,-0.17,2673.96839,,K5,12.40731747,19.68389128,3.28544398,1.080015739,18.42428253,76.38615568,1.015528598,0.11647417,3.174383816,0.201639065,15.82513728,12.75181313
,ODP1209,B,5,H,2,68,70,35.78,39.5,CWUEL,3.19,-0.28,3.83,-0.28,2675.11,,Z4,11.41345391,15.27138944,3.352111215,1.193570275,13.31204285,75.45545057,1.047792376,0.12352264,3.531931061,0.224672745,15.01793392,12.11831226
,ODP1209,B,5,H,2,72,74,35.82,39.54,CWUEL,3.3,-0.13,3.94,-0.13,2676.59,,Z5,12.02721598,16.50893145,2.872375342,1.078687064,8.451939932,93.30084651,0.997866025,0.141146149,3.446395135,0.292871785,16.41240452,12.49250636
S17 3543,ODP1209,B,5,H,2,75,77,35.85,39.57,CWUEL,3.18,-0.28,3.82,-0.28,2677.74902,,K6,11.29395437,14.77666004,2.81188877,0.933792471,9.534412101,62.93277342,1.025134498,0.112075183,3.23909116,0.231737628,11.88161495,10.75546802
,ODP1209,B,5,H,2,78,80,35.88,39.6,CWUEL,3.36,-0.29,4,-0.29,2678.93,,Z6,11.55888225,15.1280663,2.808856707,0.921113091,9.215592789,73.65752596,1.027974325,0.119947309,3.737590466,0.301648425,14.44025806,12.22057214
,ODP1209,B,5,H,2,82,84,35.92,39.64,CWUEL,3.4,-0.19,4.04,-0.19,2680.57,,Z7,11.36542198,16.38483235,2.812934548,0.937158984,12.62311684,50.70346663,1.023779709,0.112789834,3.229354748,0.231240978,9.077204373,8.087856786
S17 3544,ODP1209,B,5,H,2,85,87,35.95,39.67,CWUEL,3.35,-0.21,3.99,-0.21,2681.75204,,T4,12.1633,16.6828,2.7355,0.8529,25.6475,58.2559,1.0354,0.1229,4.1758,0.2941,16.1393,6.4688
,ODP1209,B,5,H,2,88,90,35.98,39.7,CWUEL,3.39,-0.28,4.03,-0.28,2683,,Z8/Z9,11.33062281,14.39372116,2.765988373,0.925021316,10.62368958,45.19220017,1.012579932,0.118210183,3.328585298,0.322511626,8.17593189,9.979737213
S18 0782,ODP1209,B,5,H,2,90,92,36,39.72,CWUEL,3.4,-0.48,4.04,-0.48,2683.75355,,K7,11.61436412,15.35948988,2.810685615,0.901746969,11.05483087,47.12057152,0.995176746,0.121599941,3.095962752,0.34434653,8.538442314,10.84614058
,ODP1209,B,5,H,2,92,94,36.02,39.74,CWUEL,3.51,-0.45,4.15,-0.45,2684.4,,V1,11.27568978,14.85979063,2.799770153,0.810848049,5.937743849,41.64493864,1.024232677,0.120371053,3.116396868,0.313767591,6.731583488,9.503122412
S17 3545,ODP1209,B,5,H,2,95,97,36.05,39.77,CWUEL,3.48,-0.11,4.12,-0.11,2685.31028,,K8,10.96111606,15.05860288,2.973679542,0.97358297,11.35670074,53.2783193,0.984203833,0.125733902,3.047576858,0.403025629,9.110467654,9.532086728
,ODP1209,B,5,H,2,98,100,36.08,39.8,CWUEL,3.42,-0.19,4.06,-0.19,2686.23,,V2,11.19201598,21.99628746,3.504811211,0.925322678,25.68908732,47.46130073,1.006159304,0.119934857,3.611749073,0.35794902,7.973859168,13.40684875
,ODP1209,B,5,H,2,102,104,36.12,39.84,CWUEL,3.48,-0.23,4.12,-0.23,2687.47,,V3,11.29408169,16.22787395,2.713255968,0.989925005,5.546729019,49.56511386,0.994337605,0.115964849,3.240805905,0.338458368,8.741209498,9.148202101
S17 3546,ODP1209,B,5,H,2,105,107,36.15,39.87,CWUEL,3.42,-0.26,4.06,-0.26,2688.42374,,T5,12.7813,14.5843,3.0513,1.1963,94.3471,174.1762,1.0499,0.1901,3.3788,1.656,30.7461,32.4113
,ODP1209,B,5,H,2,108,110,36.18,39.9,CWUEL,3.5,-0.48,4.14,-0.48,2689.42,,V4,11.15447385,13.77775092,2.543068947,0.872287359,5.127780239,52.79960232,0.985727384,0.118326516,3.093513204,0.45796841,10.81114029,8.888775321
,ODP1209,B,5,H,2,112,114,36.22,39.94,CWUEL,3.48,-0.35,4.12,-0.35,2690.78,,V5/V6,11.25450929,15.13266488,2.769017936,0.889167617,10.68413297,36.9938519,1.010256661,0.112798857,3.420417516,0.342791248,7.148202757,9.443330492
S17 3547,ODP1209,B,5,H,2,115,117,36.25,39.97,CWUEL,3.31,-0.21,3.95,-0.21,2691.75959,,K9,10.84346985,14.34206718,2.671230161,0.992661591,5.71307987,74.50269934,0.995991744,0.147177124,3.114397892,0.67477975,14.26661277,11.80640062
,ODP1209,B,5,H,2,118,120,36.28,40,CWUEL,3.31,-0.22,3.95,-0.22,2692.82,,V7,10.87822467,14.94345682,2.63092601,0.93818834,4.453551879,59.45352372,1.000120967,0.14088052,3.293654742,0.553996474,12.82855083,13.24028878
S18 0783,ODP1209,B,5,H,2,120,122,36.3,40.02,CWUEL,3.04,-0.37,3.68,-0.37,2693.53871,,T19,14.9686,16.1796,2.8187,0.9721,16.8993,54.7212,0.9904,0.1288,2.8498,0.3458,13.0477,-3.569
,ODP1209,B,5,H,2,122,124,36.32,40.04,CWUEL,3.22,-0.13,3.86,-0.13,2694.22,,V8,12.2299751,15.92167643,2.742849683,1.114009609,8.280979855,48.54989642,1.00821857,0.113548629,3.386134666,0.294037268,12.92837879,11.59254769
S17 3548,ODP1209,B,5,H,2,125,127,36.35,40.07,CWUEL,3.11,-0.16,3.75,-0.16,2695.31783,,C1,10.303,18.7095,2.8221,0.9073,13.2811,35.7206,1.0058,0.1254,2.9113,0.1874,8.8515,6.9545
,ODP1209,B,5,H,2,128,130,36.38,40.1,CWUEL,3.18,-0.1,3.82,-0.1,2696.32,,V9,11.79622498,16.92921235,2.959548038,1.008096424,12.61377307,57.67566445,1.002641659,0.120134126,3.065290162,0.227263994,11.6399326,12.51025221
,ODP1209,B,5,H,2,132,134,36.42,40.14,CWUEL,3.19,-0.14,3.83,-0.14,2697.68,,T1,12.11101174,15.3296511,2.95830759,0.884654132,11.16739644,63.36553005,1.026005502,0.119425756,3.263235236,0.267052429,13.08963883,13.05790296
S17 3549,ODP1209,B,5,H,2,135,137,36.45,40.17,CWUEL,3.21,-0.05,3.85,-0.05,2698.65368,,C2,11.0513,19.0782,2.9255,0.8497,9.0191,54.1237,1.0233,0.1337,2.5959,0.2072,11.9074,10.8115
,ODP1209,B,5,H,2,137,139,36.47,40.19,CWUEL,3.22,-0.13,3.86,-0.13,2699.433333,,T2,11.59916088,16.82891693,2.967739769,0.947590049,11.87137425,43.20215234,0.991595277,0.117038726,2.95619216,0.188050772,10.77253914,9.455830338
S18 0784,ODP1209,B,5,H,2,140,142,36.51,40.23,CWUEL,3.24,-0.26,3.88,-0.26,2700.87757,,T6,11.7275,14.3284,2.8404,0.8709,23.4214,78.1739,1.0127,0.134,28.9047,0.2513,16.0371,7.8459
S17 3550,ODP1209,B,5,H,2,145,147,36.55,40.27,CWUEL,3.15,-0.33,3.79,-0.33,2702.87908,,C3,10.7908,15.5066,3.216,0.8649,14.8537,31.3814,1.0294,0.1263,2.6389,0.1846,7.5476,9.3646
S18 0785,ODP1209,B,5,H,3,2,4,36.62,40.34,CWUEL,3.35,-0.33,3.99,-0.33,2706.65971,,J1,10.45199259,14.9966491,2.774290974,0.887968877,6.359911442,47.27172096,1.042696248,0.115242489,3.466331486,0.259363755,9.281175056,8.126287591
S17 3523,ODP1209,B,5,H,3,5,7,36.65,40.37,CWUEL,3.32,-0.53,3.96,-0.53,2708.43883,,T7,12.0223,13.9134,2.969,0.799,19.8226,60.4625,1.0595,0.1199,2.912,0.2716,10.685,1.3134
S17 3524,ODP1209,B,5,H,3,15,17,36.75,40.47,CWUEL,3.32,-0.7,3.96,-0.7,2713.77619,,,,,,,,,,,,,,
S17 3525,ODP1209,B,5,H,3,25,27,36.85,40.57,CWUEL,3.54,-0.52,4.18,-0.52,2719.33594,,T8,11.7407,14.6876,2.8506,0.7692,23.4819,32.1304,1.0203,0.1247,4.989,0.8323,5.2566,2.664
S18 0786,ODP1209,B,5,H,3,30,32,36.9,40.62,CWUEL,3.59,-0.4,4.23,-0.4,2722.4494,,J2,10.86929848,14.57086504,3.058608628,0.871237751,12.74122334,24.38473196,1.015777421,0.115560772,3.17233043,0.837026989,4.409209267,9.645831702
S17 3526,ODP1209,B,5,H,3,35,37,36.95,40.67,CWUEL,3.31,-0.13,3.95,-0.13,2725.34047,,J3,11.12736692,20.57272071,3.626402248,1.155974677,33.8952435,30.76099717,1.020798276,0.127374094,3.133021816,0.54999724,7.139209912,10.62260307
S17 3527,ODP1209,B,5,H,3,45,47,37.05,40.77,CWUEL,2.94,-0.09,3.58,-0.09,2731.1226,,T9,11.8399,14.8217,2.869,0.8593,19.2663,46.5717,0.9928,0.1236,2.8151,0.3254,7.4845,3.7755
S17 3528,ODP1209,B,5,H,3,55,57,37.15,40.87,CWUEL,2.74,-0.05,3.38,-0.05,2736.23757,,,,,,,,,,,,,,
,ODP1209,B,5,H,3,60,62,,40.92,,,,,,2739.62,iNHG,T10,11.9051,15.8064,2.8391,0.8721,11.5146,58.0227,1.0204,0.1281,2.7481,0.2816,9.4252,9.853
S17 3529,ODP1209,B,5,H,3,85,87,37.45,41.17,CWUEL,3.07,-0.19,3.71,-0.19,2756.69744,,A1,11.5799,18.8331,3.2101,0.891,60.8725,32.333,1.0465,0.1183,3.0506,0.1859,3.7419,15.3764
S18 0787,ODP1209,B,5,H,3,90,92,37.5,41.22,CWUEL,2.93,-0.23,3.57,-0.23,2759.8109,,A2,11.6357,15.6856,3.0026,0.8983,15.4886,26.9311,1.0608,0.1054,3.3905,0.2045,3.0732,9.7561
S17 3530,ODP1209,B,5,H,3,95,97,37.55,41.27,CWUEL,3.06,-0.12,3.7,-0.12,2762.47958,,A3,10.965,11.601,2.9334,0.7969,18.0123,23.7051,1.0784,0.1048,2.9631,0.198,2.6352,4.8653
S17 3531,ODP1209,B,5,H,3,105,107,37.65,41.37,CWUEL,2.98,0.1,3.62,0.1,2767.81694,,A4,11.0169,11.692,3.1092,0.8197,13.8106,42.5823,1.0362,0.1192,3.1246,0.2532,6.8884,12.0752
S17 3532,ODP1209,B,5,H,3,115,117,37.75,41.47,CWUEL,2.82,0.08,3.46,0.08,2772.48713,,A5,10.5888,11.5902,2.7863,0.8593,14.3517,66.0442,1.0377,0.1355,3.2163,0.2842,11.896,14.7783
S18 0788,ODP1209,B,5,H,3,120,122,37.8,41.52,CWUEL,2.59,-0.12,3.23,-0.12,2775.15581,,A6,11.4793,11.1925,2.8794,0.8621,8.2525,43.606,1.0326,0.1155,3.9863,0.2281,11.9056,13.5512
S17 3533,ODP1209,B,5,H,3,125,127,37.85,41.57,CWUEL,2.82,-0.08,3.46,-0.08,2777.6021,,A7,11.684,13.7556,2.8564,0.8659,5.5236,36.3596,1.1588,0.1289,4161.1741,0.2069,7.8338,5.8971
S17 3534,ODP1209,B,5,H,3,135,137,37.95,41.67,CWUEL,2.88,0.1,3.52,0.1,2782.71706,,A8,10.65,15.3042,4.0749,1.0478,159.224,52.7112,1.0165,0.1108,3.0683,0.2425,6.8466,38.4343
S18 0789,ODP1209,B,5,H,3,141,143,38,41.72,CWUEL,2.88,0.03,3.52,0.03,2785.83052,,A9,11.0536,18.7135,2.9442,0.8308,6.1781,46.6753,1.0235,0.1241,2.6855,0.165,6.5102,13.2303
S17 3535,ODP1209,B,5,H,3,145,147,38.05,41.77,CWUEL,2.98,0.07,3.62,0.07,2788.4992,,A10,10.7211,15.412,2.8315,0.8468,5.6223,58.1232,1.0442,0.1297,2.7171,0.1789,7.1003,9.3045
S18 0790,ODP1209,B,5,H,4,0,2,38.1,41.82,CWUEL,2.94,0.08,3.58,0.08,2792.27983,,A11,10.6173,13.8668,2.8154,0.7719,6.9713,50.1588,1.038,0.1151,2.7414,0.2252,9.3737,10.5388
S17 3175,ODP1209,B,5,H,4,5,7,38.15,41.87,CWUEL,2.97,0.02,3.61,0.02,2795.61568,,A12,10.0618,14.5911,2.859,0.848,8.9586,34.0619,1.0326,0.1164,2.5535,0.1427,5.0213,10.4899
S17 3176,ODP1209,B,5,H,4,15,17,38.25,41.97,CWUEL,3.2,-0.13,3.84,-0.13,2802.28738,,LP5,11.6536,14.1758,2.78735,0.8642,6.7141,70.9856,1.0181,0.13495,2.69105,0.3339,10.63945,12.38435
S17 3177,ODP1209,B,5,H,4,25,27,38.35,42.07,CWUEL,3.27,-0.08,3.91,-0.08,2809.62624,,LP4,12.1997,13.656,2.9659,0.8219,20.7239,60.4561,1.0219,0.1198,2.6445,0.3098,7.4123,-16.0656
S17 3178,ODP1209,B,5,H,4,35,37,38.45,42.17,CWUEL,3.21,-0.05,3.85,-0.05,2815.63077,,,,,,,,,,,,,,
S17 3179,ODP1209,B,5,H,4,45,47,38.55,42.27,CWUEL,2.9,0.28,3.54,0.28,2820.52335,,LP3,12.9989,13.2756,2.9989,0.9322,16.776,129.9028,1.0296,0.1355,2.5546,0.2747,12.8622,-82.4964
S17 3180,ODP1209,B,5,H,4,55,57,38.65,42.37,CWUEL,2.91,0.16,3.55,0.16,2824.52637,,,,,,,,,,,,,,
S17 3341,ODP1209,B,5,H,4,65,67,38.75,42.47,CWUEL,2.87,0.03,3.51,0.03,2828.08461,,,,,,,,,,,,,,
S17 3342,ODP1209,B,5,H,4,75,77,38.85,42.57,CWUEL,2.95,0.24,3.59,0.24,2831.42045,,LP2,11.9441,12.7422,2.8564,0.8881,7.6969,82.389,1.0343,0.1143,2.5355,0.2013,9.245,-7.4488
S17 3343,ODP1209,B,5,H,4,85,87,38.95,42.67,CWUEL,2.95,0.08,3.59,0.08,2835.20108,,,,,,,,,,,,,,
S17 3344,ODP1209,B,5,H,4,95,97,39.05,42.77,CWUEL,3.02,-0.12,3.66,-0.12,2839.2041,,LP1,12.0351,13.57745,2.72425,0.8092,5.9772,104.115,1.0148,0.12835,2.9181,0.3156,12.299,2.07485
S17 3345,ODP1209,B,5,H,4,105,107,39.15,42.87,CWUEL,3.16,-0.25,3.8,-0.25,2843.20712,,,,,,,,,,,,,,
S17 3346,ODP1209,B,5,H,4,115,117,39.25,42.97,CWUEL,3.16,0.01,3.8,0.01,2847.43253,,,,,,,,,,,,,,
S17 3347,ODP1209,B,5,H,4,125,127,39.35,43.07,CWUEL,3.11,0.03,3.75,0.03,2851.65794,,,,,,,,,,,,,,
S17 3521,ODP1209,B,5,H,4,135,137,39.45,43.17,CWUEL,2.84,0.24,3.48,0.24,2856.32813,,,,,,,,,,,,,,
S17 3522,ODP1209,B,5,H,4,145,147,39.55,43.27,CWUEL,2.8,0.01,3.44,0.01,2860.10875,,,,,,,,,,,,,,
S18 1711,ODP1209,B,5,H,5,2,4,39.62,43.34,CWUEL,2.9,0,3.54,0,2862.99982,,,,,,,,,,,,,,
S17 2132,ODP1209,B,5,H,5,5,7,39.65,43.37,CWUEL,2.79,-0.07,3.43,-0.07,2864.33416,,,,,,,,,,,,,,
S17 2133,ODP1209,B,5,H,5,15,17,39.75,43.47,CWUEL,2.92,0.05,3.56,0.05,2869.00435,,,,,,,,,,,,,,
S17 2134,ODP1209,B,5,H,5,25,27,39.85,43.57,CWUEL,3.02,0,3.66,0,2873.45215,,,,,,,,,,,,,,
S18 1712,ODP1209,B,5,H,5,30,32,39.9,43.62,CWUEL,3.04,0.03,3.68,0.03,2876.12083,,,,,,,,,,,,,,
S17 2135,ODP1209,B,5,H,5,35,37,39.95,43.67,CWUEL,3.18,-0.11,3.82,-0.11,2878.34473,,,,,,,,,,,,,,
S17 2136,ODP1209,B,5,H,5,45,47,40.05,43.77,CWUEL,3.27,-0.09,3.91,-0.09,2883.2373,,,,,,,,,,,,,,
S17 2137,ODP1209,B,5,H,5,55,57,40.15,43.87,CWUEL,3.14,-0.13,3.78,-0.13,2887.90749,,,,,,,,,,,,,,
S18 1713,ODP1209,B,5,H,5,60,62,40.2,43.92,CWUEL,2.92,0.06,3.56,0.06,2890.57617,,,,,,,,,,,,,,
S17 2138,ODP1209,B,5,H,5,65,67,40.25,43.97,CWUEL,3,-0.22,3.64,-0.22,2893.24485,,,,,,,,,,,,,,
S17 2139,ODP1209,B,5,H,5,78,80,40.38,44.1,CWUEL,2.9,0.06,3.54,0.06,2899.47177,,,,,,,,,,,,,,
S17 2140,ODP1209,B,5,H,5,85,87,40.45,44.17,CWUEL,2.87,-0.05,3.51,-0.05,2902.36284,,,,,,,,,,,,,,
S17 3166,ODP1209,A,5,H,3,65,67,40.35,44.21,CWUEL,2.88,0.08,3.52,0.08,2904.36435,,,,,,,,,,,,,,
S18 1714,ODP1209,B,5,H,5,91,93,40.51,44.23,CWUEL,2.85,0.06,3.49,0.06,2905.4763,,,,,,,,,,,,,,
S17 2141,ODP1209,B,5,H,5,95,97,40.55,44.27,CWUEL,2.93,-0.11,3.57,-0.11,2907.03303,,,,,,,,,,,,,,
S17 3167,ODP1209,A,5,H,3,75,77,40.45,44.31,CWUEL,2.81,-0.02,3.45,-0.02,2908.58975,,,,,,,,,,,,,,
S17 3168,ODP1209,A,5,H,3,85,87,40.55,44.41,CWUEL,2.96,0.05,3.6,0.05,2912.81516,,,,,,,,,,,,,,
S17 3169,ODP1209,A,5,H,3,95,97,40.65,44.51,CWUEL,2.82,-0.15,3.46,-0.15,2916.59579,,,,,,,,,,,,,,
S17 3170,ODP1209,A,5,H,3,105,107,40.75,44.61,CWUEL,3.07,-0.13,3.71,-0.13,2921.04359,,,,,,,,,,,,,,
S17 3171,ODP1209,A,5,H,3,115,117,40.85,44.71,CWUEL,3.02,-0.25,3.66,-0.25,2926.38095,,,,,,,,,,,,,,
S17 3172,ODP1209,A,5,H,3,125,127,40.95,44.81,CWUEL,3.33,-0.51,3.97,-0.51,2931.9407,,,,,,,,,,,,,,
S17 3173,ODP1209,A,5,H,3,131,133,41.01,44.87,CWUEL,2.87,-0.09,3.51,-0.09,2935.49893,,,,,,,,,,,,,,
S17 3174,ODP1209,A,5,H,3,145,147,41.15,45.01,CWUEL,2.71,0.09,3.35,0.09,2941.28107,,,,,,,,,,,,,,
S18 1715,ODP1209,A,5,H,4,0,3,41.2,45.06,CWUEL,2.68,-0.07,3.32,-0.07,2943.50497,,,,,,,,,,,,,,
